"seqid","strand","gene_name","gene_id","event_type","ref_exon_start","ref_exon_end","start","end","is_intron","other_exon_start","other_exon_end","is_denovo","ref_exon_denovo","other_exon_denovo","event_denovo","dpsi_mean","dpsi_std","probability_changing","probability_nonchanging","control_raw_psi_mean","control_raw_psi_std","control_bootstrap_psi_std","control_raw_coverage","infected_raw_psi_mean","infected_raw_psi_std","infected_bootstrap_psi_std","infected_raw_coverage"
"chr1","-","NOC2L","ENSG00000188976.11","t",954004,954082,954083,954425,"True",954426,954523,"False","False","False","False",0.0011,0.0208,3.787e-07,0.9925,0.032,0.023,0.0284,1.3333,0.0365,0.0203,0.0235,2.5833
"chr1","-","NOC2L","ENSG00000188976.11","s",955923,956013,954523,955923,"False",954426,954523,"False","False","False","False",0.0041,0.0232,1.687e-05,0.9818,0.0431,0.0264,0.0336,2,0.0632,0.0259,0.0376,5
"chr1","-","NOC2L","ENSG00000188976.11","s",955923,956013,954082,955923,"False",954004,954082,"False","False","False","False",-0.0041,0.0232,1.684e-05,0.9818,0.9569,0.0264,0.0336,55,0.9368,0.0259,0.0376,81
"chr1","-","NOC2L","ENSG00000188976.11","t",957099,957273,957273,958929,"False",958929,959081,"False","False","False","False",-9e-04,0.0209,7.72e-07,0.992,0.9637,0.0266,0.0287,46,0.9581,0.0273,0.0276,50
"chr1","-","NOC2L","ENSG00000188976.11","t",957099,957273,957274,958245,"True",958246,958458,"False","False","False","False",9e-04,0.0209,7.944e-07,0.992,0.0363,0.0266,0.0287,1.25,0.0419,0.0273,0.0276,1.7083
"chr1","-","NOC2L","ENSG00000188976.11","s",958929,959081,957273,958929,"False",957099,957273,"False","False","False","False",0.0025,0.0204,1.315e-06,0.9927,0.9588,0.0283,0.0299,46,0.9702,0.0233,0.0232,50
"chr1","-","NOC2L","ENSG00000188976.11","s",958929,959081,958459,958928,"True",958246,958458,"False","False","False","False",-0.0025,0.0204,1.32e-06,0.9927,0.0412,0.0283,0.0299,1.5,0.0298,0.0233,0.0232,1.05
"chr1","+","AGRN","ENSG00000188157.15","t",1034867,1035324,1022462,1035277,"False",1022201,1022462,"False","False","False","False",9e-04,0.0152,-5.143e-08,0.9997,0.9914,0.012,0.0125,57,0.9956,0.0062,0.006,113
"chr1","+","AGRN","ENSG00000188157.15","t",1034867,1035324,1034703,1035277,"False",1034106,1034703,"False","False","False","False",-9e-04,0.0152,5.268e-09,0.9997,0.0086,0.012,0.0125,0,0.0044,0.0062,0.006,0
"chr1","+","AGRN","ENSG00000188157.15","s",1050726,1050837,1050837,1051032,"False",1051032,1051043,"False","False","False","False",-6e-04,0.015,4.173e-08,0.9998,0.007,0.0099,0.0103,0,0.0043,0.006,0.0061,0
"chr1","+","AGRN","ENSG00000188157.15","s",1050726,1050837,1050837,1051253,"False",1051253,1051369,"False","False","False","False",6e-04,0.015,1.548e-08,0.9998,0.993,0.0099,0.0103,70,0.9957,0.006,0.0061,116
"chr1","+","AGRN","ENSG00000188157.15","t",1051253,1051369,1050837,1051253,"False",1050726,1050837,"False","False","False","False",6e-04,0.015,1.548e-08,0.9998,0.993,0.0099,0.0103,70,0.9957,0.006,0.0061,116
"chr1","+","AGRN","ENSG00000188157.15","t",1051253,1051369,1051043,1051253,"False",1051032,1051043,"False","False","False","False",-6e-04,0.015,4.173e-08,0.9998,0.007,0.0099,0.0103,0,0.0043,0.006,0.0061,0
"chr1","+","AGRN","ENSG00000188157.15","s",1051728,1051815,1051815,1051993,"False",1051986,1052016,"False","False","False","False",4e-04,0.0149,1.111e-08,1,0.0043,0.0061,0.0062,0,0.009,0.0073,0.0084,1
"chr1","+","AGRN","ENSG00000188157.15","s",1051728,1051815,1051815,1053753,"False",1053753,1053977,"False","False","False","False",-4e-04,0.0149,-2.392e-08,1,0.9957,0.0061,0.0062,114,0.991,0.0073,0.0084,165
"chr1","+","AGRN","ENSG00000188157.15","t",1053753,1053977,1051815,1053753,"False",1051728,1051815,"False","False","False","False",0.0054,0.0204,-6.102e-08,0.9926,0.9475,0.0202,0.0238,114,0.9612,0.0147,0.0179,165
"chr1","+","AGRN","ENSG00000188157.15","t",1053753,1053977,1053493,1053753,"False",1053461,1053493,"False","False","False","False",3e-04,0.0147,-5.182e-08,1,0.0028,0.0048,0.0048,0,0.0078,0.0067,0.0075,1
"chr1","+","AGRN","ENSG00000188157.15","t",1053753,1053977,1053494,1053752,"True",1053461,1053493,"False","False","False","False",-0.0076,0.02,-9.692e-09,0.9916,0.0497,0.0197,0.0233,5.6667,0.031,0.0132,0.0159,5
"chr1","-","SDF4","ENSG00000078808.20","s",1218458,1218633,1217804,1218458,"False",1216931,1217804,"False","False","False","False",0.0045,0.0239,2.985e-07,0.9771,0.0534,0.022,0.0309,5,0.0625,0.0186,0.0277,10
"chr1","-","SDF4","ENSG00000078808.20","s",1218458,1218633,1217688,1218458,"False",1216931,1217804,"False","False","False","False",-0.0045,0.0239,3.17e-07,0.9771,0.9466,0.022,0.0309,97,0.9375,0.0186,0.0277,157
"chr1","-","SDF4","ENSG00000078808.20","s",1218769,1221351,1218633,1218769,"False",1218458,1218633,"False","False","False","False",7e-04,0.0152,-4.678e-08,0.9999,0.9912,0.0087,0.0101,112,0.993,0.0057,0.0069,211
"chr1","-","SDF4","ENSG00000078808.20","s",1218769,1221351,1218634,1218768,"True",1218458,1218633,"False","False","False","False",-7e-04,0.0152,-1.004e-07,0.9999,0.0088,0.0087,0.0101,0.5,0.007,0.0057,0.0069,1
"chr1","-","SDF4","ENSG00000078808.20","s",1223244,1223357,1219005,1223244,"False",1218769,1221351,"False","False","False","False",0.0025,0.0162,-5.431e-08,0.9985,0.004,0.0069,0.0071,0,0.0143,0.0123,0.0174,1
"chr1","-","SDF4","ENSG00000078808.20","s",1223244,1223357,1218943,1223244,"False",1218769,1221351,"False","False","False","False",0.003,0.0163,-3.376e-09,0.999,0.004,0.0069,0.0071,0,0.0143,0.0123,0.0161,1
"chr1","-","SDF4","ENSG00000078808.20","s",1223244,1223357,1218927,1223244,"False",1218769,1221351,"False","False","False","False",-0.0072,0.0182,1.055e-07,0.9945,0.992,0.0097,0.01,82,0.9713,0.0172,0.0225,90
"chr1","-","SDF4","ENSG00000078808.20","s",1228468,1228946,1227319,1228468,"False",1227272,1227319,"False","False","False","False",-2e-04,0.0148,-5.242e-08,0.9999,0.0056,0.0078,0.008,0,0.0047,0.0066,0.0068,0
"chr1","-","SDF4","ENSG00000078808.20","s",1228468,1228946,1223968,1228468,"False",1223832,1223968,"False","False","False","False",2e-04,0.0148,1.775e-08,0.9999,0.9944,0.0078,0.008,89,0.9953,0.0066,0.0068,105
"chr1","-","INTS11","ENSG00000127054.22","s",1312787,1312949,1312700,1312787,"False",1312593,1312700,"False","False","False","False",0.0154,0.0323,0.005011,0.9424,0.8472,0.0591,0.0758,30,0.9545,0.0278,0.036,52
"chr1","-","INTS11","ENSG00000127054.22","s",1312787,1312949,1312701,1312786,"True",1312593,1312700,"False","False","False","False",-0.0154,0.0323,0.005011,0.9424,0.1528,0.0591,0.0758,5,0.0455,0.0278,0.036,2
"chr1","-","INTS11","ENSG00000127054.22","s",1313035,1313124,1312949,1313035,"False",1312787,1312949,"False","False","False","False",0.0081,0.0199,1.107e-06,0.9891,0.9569,0.0264,0.0315,55,0.984,0.0157,0.0172,61
"chr1","-","INTS11","ENSG00000127054.22","s",1313035,1313124,1312950,1313034,"True",1312787,1312949,"False","False","False","False",-0.0081,0.0199,9.998e-07,0.9891,0.0431,0.0264,0.0315,2,0.016,0.0157,0.0172,0.5
"chr1","-","INTS11","ENSG00000127054.22","s",1313509,1313592,1313124,1313509,"False",1313035,1313124,"False","False","False","False",0.0036,0.0204,7.81e-07,0.9925,0.9638,0.0244,0.0297,55,0.9735,0.0174,0.0201,82
"chr1","-","INTS11","ENSG00000127054.22","s",1313509,1313592,1313125,1313508,"True",1313035,1313124,"False","False","False","False",-0.0036,0.0204,7.413e-07,0.9925,0.0362,0.0244,0.0297,1.5833,0.0265,0.0174,0.0201,1.75
"chr1","-","INTS11","ENSG00000127054.22","t",1313732,1314105,1314105,1314301,"False",1314136,1314365,"False","False","False","False",-0.0083,0.0193,6.112e-05,0.9869,0.041,0.0353,0.0469,1,0.0037,0.0074,0.0077,0
"chr1","-","INTS11","ENSG00000127054.22","t",1313732,1314105,1313921,1314824,"False",1314824,1314962,"False","False","False","False",0.0084,0.0193,2.295e-06,0.9894,0.0082,0.0161,0.0166,0,0.0336,0.0218,0.0305,2
"chr1","-","INTS11","ENSG00000127054.22","t",1313732,1314105,1313921,1314301,"False",1314136,1314365,"False","False","False","False",0.0025,0.0251,0.0002697,0.9749,0.8934,0.055,0.0688,27,0.9291,0.0311,0.0419,62
"chr1","-","INTS11","ENSG00000127054.22","t",1313732,1314105,1314106,1314135,"True",1314136,1314365,"False","False","False","False",-0.002,0.0222,4.338e-05,0.9863,0.0574,0.0414,0.0489,1.5,0.0336,0.0218,0.0275,2
"chr1","-","INTS11","ENSG00000127054.22","t",1314136,1314365,1314365,1314824,"False",1314824,1314962,"False","False","False","False",0.0055,0.0349,0.005879,0.9554,0.8507,0.0607,0.0815,28,0.8953,0.0461,0.0709,38
"chr1","-","INTS11","ENSG00000127054.22","t",1314136,1314365,1314366,1314412,"True",1314413,1314664,"False","False","False","False",-0.0055,0.0349,0.005879,0.9554,0.1493,0.0607,0.0815,4.5,0.1047,0.0461,0.0709,4
"chr1","-","INTS11","ENSG00000127054.22","s",1314824,1314962,1314365,1314824,"False",1314136,1314365,"False","False","False","False",-0.0048,0.0269,0.001064,0.9693,0.8629,0.0591,0.0754,28,0.8364,0.0541,0.0722,38
"chr1","-","INTS11","ENSG00000127054.22","s",1314824,1314962,1313921,1314824,"False",1313732,1314105,"False","False","False","False",0.0113,0.0215,0.0002485,0.9775,0.0102,0.0172,0.018,0,0.0509,0.0321,0.0462,2
"chr1","-","INTS11","ENSG00000127054.22","s",1314824,1314962,1314665,1314823,"True",1314413,1314664,"False","False","False","False",8e-04,0.0255,0.000576,0.9759,0.1269,0.0572,0.0734,3.8333,0.1127,0.0462,0.06,4.8333
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315618,1324581,"False",1324581,1324687,"False","False","False","False",-3e-04,0.0151,1.406e-07,0.9996,0.0054,0.0129,0.0132,0,0.0035,0.0084,0.0085,0
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315618,1323181,"False",1322771,1323287,"False","False","False","False",-3e-04,0.0151,1.406e-07,0.9996,0.0054,0.0129,0.0132,0,0.0035,0.0084,0.0085,0
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315618,1320996,"False",1320996,1321096,"False","False","False","False",-3e-04,0.0151,1.406e-07,0.9996,0.0054,0.0129,0.0132,0,0.0035,0.0084,0.0085,0
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315618,1319296,"False",1318679,1319346,"False","False","False","False",0.0016,0.0183,2.115e-06,0.9961,0.9731,0.0286,0.0294,30,0.9826,0.0187,0.0189,47
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315618,1316157,"False",1316157,1317450,"False","False","False","False",-3e-04,0.0151,1.406e-07,0.9996,0.0054,0.0129,0.0132,0,0.0035,0.0084,0.0085,0
"chr1","-","INTS11","ENSG00000127054.22","t",1315560,1315697,1315614,1323177,"False",1322771,1323287,"False","False","False","False",-3e-04,0.0151,1.406e-07,0.9996,0.0054,0.0129,0.0132,0,0.0035,0.0084,0.0085,0
"chr1","-","INTS11","ENSG00000127054.22","s",1318679,1319346,1315618,1319296,"False",1315560,1315697,"False","False","False","False",0.0013,0.0175,1.185e-06,0.9972,0.9785,0.0256,0.0263,30,0.9861,0.0167,0.0169,47
"chr1","-","INTS11","ENSG00000127054.22","s",1318679,1319346,1315552,1319296,"False",1315520,1315552,"False","False","False","False",-6e-04,0.0158,1.975e-07,0.999,0.0108,0.0182,0.0186,0,0.0069,0.0119,0.012,0
"chr1","-","INTS11","ENSG00000127054.22","s",1318679,1319346,1314962,1319072,"False",1314824,1314962,"False","False","False","False",-6e-04,0.0158,1.975e-07,0.999,0.0108,0.0182,0.0186,0,0.0069,0.0119,0.012,0
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319885,1320456,"False",1320456,1320905,"False","False","False","False",-4e-04,0.0151,3.346e-07,0.9995,0.0057,0.0136,0.0154,0,0.0033,0.0079,0.0078,0
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319843,1320456,"False",1320456,1320905,"False","False","False","False",-4e-04,0.0151,3.346e-07,0.9995,0.0057,0.0136,0.0154,0,0.0033,0.0079,0.0078,0
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319705,1320456,"False",1320456,1320905,"False","False","False","False",0.004,0.0177,1.081e-06,0.995,0.0057,0.0136,0.0154,0,0.0229,0.0207,0.0283,1
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319524,1324581,"False",1324581,1324687,"False","False","False","False",-4e-04,0.0151,3.346e-07,0.9995,0.0057,0.0136,0.0154,0,0.0033,0.0079,0.0078,0
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319524,1320456,"False",1320456,1320905,"False","False","False","False",9e-04,0.0214,2.317e-05,0.9891,0.9591,0.0359,0.0433,28,0.9641,0.0258,0.0321,49
"chr1","-","INTS11","ENSG00000127054.22","t",1319470,1319885,1319886,1320455,"True",1320456,1320905,"False","False","False","False",-0.0027,0.0165,4.352e-06,0.9974,0.0182,0.0242,0.0303,0.3667,0.0033,0.0079,0.0078,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319885,1320456,"False",1319470,1319885,"False","False","False","False",-4e-04,0.0151,1.527e-07,0.9996,0.0053,0.0128,0.0143,0,0.0032,0.0078,0.0076,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319843,1320456,"False",1319470,1319885,"False","False","False","False",-4e-04,0.0151,1.527e-07,0.9996,0.0053,0.0128,0.0143,0,0.0032,0.0078,0.0076,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319705,1320456,"False",1319470,1319885,"False","False","False","False",0.004,0.0176,1.035e-06,0.9952,0.0053,0.0128,0.0143,0,0.0224,0.0203,0.0279,1
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319524,1320456,"False",1319470,1319885,"False","False","False","False",0.0092,0.0338,0.006016,0.9596,0.898,0.0532,0.0824,28,0.9455,0.0312,0.0408,49
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319433,1320456,"False",1319347,1319433,"False","False","False","False",-0.0149,0.0463,0.01856,0.9419,0.0691,0.0446,0.0748,2,0.0224,0.0203,0.0296,1
"chr1","-","INTS11","ENSG00000127054.22","s",1320456,1320905,1319886,1320455,"True",1319470,1319885,"False","False","False","False",-0.0026,0.0164,2.375e-06,0.9978,0.017,0.0227,0.0277,0.3667,0.0032,0.0078,0.0076,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320996,1321096,1320682,1320996,"False",1320456,1320905,"False","False","False","False",-1e-04,0.015,-1.522e-08,0.9997,0.0044,0.0097,0.0099,0,0.0037,0.0081,0.0087,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320996,1321096,1320529,1320996,"False",1320456,1320905,"False","False","False","False",0.0011,0.0192,6.768e-07,0.995,0.9714,0.0244,0.0262,44,0.9761,0.0205,0.023,53
"chr1","-","INTS11","ENSG00000127054.22","s",1320996,1321096,1315618,1320996,"False",1315560,1315697,"False","False","False","False",-1e-04,0.015,-1.522e-08,0.9997,0.0044,0.0097,0.0099,0,0.0037,0.0081,0.0087,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320996,1321096,1314962,1320996,"False",1314824,1314962,"False","False","False","False",-1e-04,0.015,-1.522e-08,0.9997,0.0044,0.0097,0.0099,0,0.0037,0.0081,0.0087,0
"chr1","-","INTS11","ENSG00000127054.22","s",1320996,1321096,1320906,1320995,"True",1320456,1320905,"False","False","False","False",-6e-04,0.0169,1.732e-07,0.9979,0.0154,0.018,0.0201,0.5,0.0128,0.0151,0.0173,0.5
"chr1","-","DVL1","ENSG00000107404.21","t",1335276,1336515,1336515,1337977,"False",1337977,1338183,"False","False","False","False",4e-04,0.0163,-2.124e-08,0.9988,0.9875,0.0174,0.0175,39,0.9904,0.0134,0.0144,51
"chr1","-","DVL1","ENSG00000107404.21","t",1335276,1336515,1336515,1337018,"False",1337018,1337055,"False","False","False","False",-4e-04,0.0163,-2.031e-08,0.9988,0.0125,0.0174,0.0175,0,0.0096,0.0134,0.0144,0
"chr1","-","DVL1","ENSG00000107404.21","s",1337977,1338183,1337055,1337977,"False",1337018,1337055,"False","False","False","False",-4e-04,0.0163,-2.031e-08,0.9988,0.0125,0.0174,0.0175,0,0.0096,0.0134,0.0144,0
"chr1","-","DVL1","ENSG00000107404.21","s",1337977,1338183,1336515,1337977,"False",1335276,1336515,"False","False","False","False",4e-04,0.0163,-2.124e-08,0.9988,0.9875,0.0174,0.0175,39,0.9904,0.0134,0.0144,51
"chr1","-","DVL1","ENSG00000107404.21","s",1339492,1339649,1339439,1339582,"False",1339287,1339439,"False","False","False","False",-0.003,0.0239,9.409e-05,0.9793,0.9403,0.0403,0.0519,31,0.9286,0.0364,0.0463,45
"chr1","-","DVL1","ENSG00000107404.21","s",1339492,1339649,1339440,1339491,"True",1339287,1339439,"False","False","False","False",0.003,0.0239,9.401e-05,0.9793,0.0597,0.0403,0.0519,1.5,0.0714,0.0364,0.0463,3
"chr1","-","DVL1","ENSG00000107404.21","s",1342053,1342156,1341805,1342053,"False",1341667,1341805,"False","False","False","False",-0.0057,0.0233,3.228e-05,0.9796,0.9352,0.0379,0.0441,38,0.9148,0.0388,0.0437,46
"chr1","-","DVL1","ENSG00000107404.21","s",1342053,1342156,1341806,1342052,"True",1341667,1341805,"False","False","False","False",0.0057,0.0233,3.233e-05,0.9796,0.0648,0.0379,0.0441,2.1667,0.0852,0.0388,0.0437,3.8333
"chr1","-","AURKAIP1","ENSG00000175756.14","s",1374705,1374790,1374590,1374705,"False",1374000,1374590,"False","False","False","False",3e-04,0.0146,8.347e-08,1,0.0018,0.0032,0.0033,0,0.0054,0.0047,0.0068,1
"chr1","-","AURKAIP1","ENSG00000175756.14","s",1374705,1374790,1374445,1374705,"False",1374000,1374590,"False","False","False","False",-0.0051,0.0196,-5.314e-08,0.9961,0.9769,0.0111,0.0138,176,0.9669,0.0114,0.0161,238
"chr1","-","AURKAIP1","ENSG00000175756.14","s",1374705,1374790,1374591,1374704,"True",1374000,1374590,"False","False","False","False",0.0034,0.0191,-1.878e-08,0.9978,0.0212,0.0107,0.0135,3.5,0.0277,0.0104,0.0141,6.5
"chr1","-","AURKAIP1","ENSG00000175756.14","t",1374705,1374790,1374790,1375154,"False",1375154,1375207,"False","False","False","False",-0.0048,0.0272,0.0008166,0.9653,0.6635,0.0413,0.0604,86,0.6274,0.0374,0.0552,104
"chr1","-","AURKAIP1","ENSG00000175756.14","t",1374705,1374790,1374790,1375075,"False",1374997,1375144,"False","False","False","False",-0.0059,0.0225,1.339e-07,0.9839,0.0635,0.0213,0.0299,8,0.0496,0.0168,0.0253,8
"chr1","-","AURKAIP1","ENSG00000175756.14","t",1374705,1374790,1374790,1374997,"False",1374997,1375144,"False","False","False","False",0.0116,0.0314,0.002704,0.9441,0.1865,0.034,0.0483,24,0.2422,0.0331,0.0517,40
"chr1","-","AURKAIP1","ENSG00000175756.14","t",1374705,1374790,1374791,1374996,"True",1374997,1375144,"False","False","False","False",-0.0013,0.0218,-1.968e-08,0.99,0.0865,0.0246,0.0289,11,0.0807,0.0211,0.0254,13.1667
"chr1","-","AURKAIP1","ENSG00000175756.14","s",1375154,1375207,1374790,1375154,"False",1374705,1374790,"False","False","False","False",-0.0055,0.0278,0.000811,0.9622,0.709,0.041,0.0583,86,0.6875,0.0375,0.0549,104
"chr1","-","AURKAIP1","ENSG00000175756.14","s",1375154,1375207,1375145,1375153,"True",1374997,1375144,"False","False","False","False",0.0055,0.0278,0.000811,0.9622,0.291,0.041,0.0583,35,0.3125,0.0375,0.0549,47
"chr1","-","CCNL2","ENSG00000221978.13","t",1387954,1388065,1388065,1390230,"False",1390230,1390371,"False","False","False","False",0.0081,0.0199,4.783e-05,0.9869,0.966,0.0246,0.0376,51,0.9884,0.0112,0.012,89
"chr1","-","CCNL2","ENSG00000221978.13","t",1387954,1388065,1388065,1388950,"False",1388950,1389047,"False","False","False","False",-2e-04,0.0147,5.759e-08,0.9999,0.0038,0.0083,0.0085,0,0.0022,0.0049,0.0051,0
"chr1","-","CCNL2","ENSG00000221978.13","t",1387954,1388065,1388065,1388626,"False",1388626,1388743,"False","False","False","False",-0.0068,0.0185,2.18e-05,0.9903,0.0226,0.0202,0.0346,1,0.0022,0.0049,0.0051,0
"chr1","-","CCNL2","ENSG00000221978.13","t",1387954,1388065,1388065,1388492,"False",1388492,1388510,"False","False","False","False",-2e-04,0.0147,5.759e-08,0.9999,0.0038,0.0083,0.0085,0,0.0022,0.0049,0.0051,0
"chr1","-","CCNL2","ENSG00000221978.13","t",1387954,1388065,1388066,1388491,"True",1388492,1388510,"False","False","False","False",1e-04,0.0149,-2.571e-09,0.9998,0.0038,0.0083,0.0085,0,0.005,0.0074,0.0081,0.25
"chr1","-","CCNL2","ENSG00000221978.13","s",1390230,1390371,1389473,1390230,"False",1389346,1389473,"False","False","False","False",-3e-04,0.0148,-8.39e-08,0.9998,0.0047,0.0093,0.0096,0,0.0027,0.0055,0.0057,0
"chr1","-","CCNL2","ENSG00000221978.13","s",1390230,1390371,1389047,1390230,"False",1388950,1389047,"False","False","False","False",-0.0022,0.0177,4.171e-07,0.9972,0.0236,0.0207,0.0234,1,0.0137,0.0121,0.0147,1
"chr1","-","CCNL2","ENSG00000221978.13","s",1390230,1390371,1388743,1390230,"False",1388626,1388743,"False","False","False","False",-3e-04,0.0148,-8.39e-08,0.9998,0.0047,0.0093,0.0096,0,0.0027,0.0055,0.0057,0
"chr1","-","CCNL2","ENSG00000221978.13","s",1390230,1390371,1388065,1390230,"False",1387954,1388065,"False","False","False","False",0.0033,0.0191,9.301e-07,0.995,0.967,0.0243,0.027,51,0.9808,0.0143,0.0167,89
"chr1","-","CCNL2","ENSG00000221978.13","s",1392790,1392803,1391575,1392790,"False",1391153,1391754,"False","False","False","False",-9e-04,0.0158,6.445e-07,0.9989,0.0121,0.0205,0.0208,0,0.0061,0.0105,0.0105,0
"chr1","-","CCNL2","ENSG00000221978.13","s",1392790,1392803,1390865,1392790,"False",1390766,1391096,"False","False","False","False",-9e-04,0.0158,6.445e-07,0.9989,0.0121,0.0205,0.0208,0,0.0061,0.0105,0.0105,0
"chr1","-","CCNL2","ENSG00000221978.13","s",1392790,1392803,1392717,1392789,"True",1392679,1392716,"False","False","False","False",0.002,0.0175,2.348e-06,0.997,0.9758,0.0288,0.0294,26.5,0.9878,0.0148,0.0148,53.5
"chr1","-","CCNL2","ENSG00000221978.13","s",1398988,1399335,1398671,1399019,"False",1398597,1398956,"False","False","False","False",-0.0054,0.0183,-2.267e-08,0.9952,0.99,0.0139,0.0139,49,0.9725,0.017,0.0225,88
"chr1","-","CCNL2","ENSG00000221978.13","s",1398988,1399335,1398671,1398988,"False",1398597,1398956,"False","False","False","False",0.0054,0.0183,-2.91e-08,0.9952,0.01,0.0139,0.0139,0,0.0275,0.017,0.0225,2
"chr1","-","MRPL20","ENSG00000242485.6","s",1405109,1405886,1402601,1405809,"False",1401909,1402601,"False","False","False","False",-0.0047,0.0202,-6.935e-09,0.9945,0.0321,0.0149,0.0199,4,0.0223,0.0094,0.0139,5
"chr1","-","MRPL20","ENSG00000242485.6","s",1405109,1405886,1402256,1405809,"False",1401909,1402601,"False","False","False","False",0.0047,0.0202,-7.643e-08,0.9945,0.9679,0.0149,0.0199,135,0.9777,0.0094,0.0139,241
"chr1","-","MRPL20","ENSG00000242485.6","t",1405109,1405886,1405886,1406909,"False",1406909,1407019,"False","False","False","False",-5e-04,0.0162,-2.585e-08,0.9998,0.9876,0.0087,0.0103,159,0.9845,0.0076,0.0094,259
"chr1","-","MRPL20","ENSG00000242485.6","t",1405109,1405886,1405886,1406226,"False",1406226,1406346,"False","False","False","False",-6e-04,0.0149,-4.227e-08,1,0.0083,0.0071,0.009,1,0.0051,0.0044,0.0061,1
"chr1","-","MRPL20","ENSG00000242485.6","t",1405109,1405886,1405887,1406225,"True",1406226,1406346,"False","False","False","False",4e-04,0.0148,3.139e-09,1,0.0041,0.005,0.0052,0.3333,0.0104,0.0063,0.0069,2.4167
"chr1","-","MRPL20","ENSG00000242485.6","s",1406909,1407019,1406346,1406909,"False",1406226,1406346,"False","False","False","False",-9e-04,0.015,1.734e-09,0.9999,0.0082,0.0071,0.0097,1,0.0051,0.0044,0.0052,1
